x,y,p,tv,av,rv,sv
 1.605000000E-02, 5.299999833E-02, 4.996698669E-03, 8.755088814E-03,-7.44E-05,-7.10E-04, 8.725721569E-03
 1.620000000E-02, 5.299999833E-02, 4.938838984E-03, 9.056587538E-03,-7.49E-05,-6.74E-04, 9.030903425E-03
 1.635000000E-02, 5.299999833E-02, 4.880889687E-03, 9.375100526E-03,-7.46E-05,-6.33E-04, 9.353126087E-03
 1.650000000E-02, 5.299999833E-02, 4.824074522E-03, 9.709576793E-03,-7.36E-05,-5.87E-04, 9.691267280E-03
 1.665000000E-02, 5.299999833E-02, 4.769729184E-03, 1.005889710E-02,-7.19E-05,-5.35E-04, 1.004412991E-02
 1.680000000E-02, 5.299999833E-02, 4.719277068E-03, 1.042186651E-02,-6.96E-05,-4.76E-04, 1.041043612E-02
 1.695000000E-02, 5.299999833E-02, 4.674236130E-03, 1.079720324E-02,-6.68E-05,-4.12E-04, 1.078881834E-02
 1.710000000E-02, 5.299999833E-02, 4.636182614E-03, 1.118354811E-02,-6.35E-05,-3.41E-04, 1.117783114E-02
 1.725000000E-02, 5.299999833E-02, 4.606676418E-03, 1.157944989E-02,-5.99E-05,-2.65E-04, 1.157593920E-02
 1.740000000E-02, 5.299999833E-02, 4.587179677E-03, 1.198334876E-02,-5.60E-05,-1.83E-04, 1.198150395E-02
 1.755000000E-02, 5.299999833E-02, 4.579025084E-03, 1.239357865E-02,-5.20E-05,-9.45E-05, 1.239278919E-02
