x,y,p,tv,av,rv,sv,dswirl-velocity-dy
 6.359999858E-02, 5.000000000E-02,-9.53E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.88E+00
 6.374999858E-02, 5.000000000E-02,-9.30E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.97E+00
 6.389999857E-02, 5.000000000E-02,-9.09E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.05E+00
 6.404999857E-02, 5.000000000E-02,-8.90E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.12E+00
 6.419999857E-02, 5.000000000E-02,-8.72E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.19E+00
 6.434999856E-02, 5.000000000E-02,-8.57E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.24E+00
 6.449999856E-02, 5.000000000E-02,-8.44E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.29E+00
 6.464999855E-02, 5.000000000E-02,-8.34E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.33E+00
 6.479999855E-02, 5.000000000E-02,-8.25E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.36E+00
 6.494999855E-02, 5.000000000E-02,-8.18E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.38E+00
 6.509999854E-02, 5.000000000E-02,-8.14E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.40E+00
 6.524999854E-02, 5.000000000E-02,-8.12E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.41E+00
 6.539999854E-02, 5.000000000E-02,-8.12E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.41E+00
